Original,Traduzido,Diretório,Tamanho Original,Tamanho Traduzido,Diferença %
_bmad/bmm/agents/analyst.md,_bmad/bmm/agents/analyst_pt-br.md,bmm/agents,7259,7807,+7.5
_bmad/bmm/agents/architect.md,_bmad/bmm/agents/architect_pt-br.md,bmm/agents,5702,5244,-8.0
_bmad/bmm/agents/dev.md,_bmad/bmm/agents/dev_pt-br.md,bmm/agents,5615,5422,-3.4
_bmad/bmm/agents/pm.md,_bmad/bmm/agents/pm_pt-br.md,bmm/agents,5632,5247,-6.8
_bmad/bmm/agents/quick-flow-solo-dev.md,_bmad/bmm/agents/quick-flow-solo-dev_pt-br.md,bmm/agents,5260,5192,-1.3
_bmad/bmm/agents/sm.md,_bmad/bmm/agents/sm_pt-br.md,bmm/agents,6544,5210,-20.4
_bmad/bmm/agents/tea.md,_bmad/bmm/agents/tea_pt-br.md,bmm/agents,6240,5170,-17.1
_bmad/bmm/agents/tech-writer.md,_bmad/bmm/agents/tech-writer_pt-br.md,bmm/agents,7311,5142,-29.7
_bmad/bmm/agents/ux-designer.md,_bmad/bmm/agents/ux-designer_pt-br.md,bmm/agents,5628,5237,-6.9
_bmad/bmm/data/README.md,_bmad/bmm/data/README_pt-br.md,bmm/data,866,1057,+22.1
_bmad/bmm/data/documentation-standards.md,_bmad/bmm/data/documentation-standards_pt-br.md,bmm/data,6396,5287,-17.3
_bmad/bmm/data/project-context-template.md,_bmad/bmm/data/project-context-template_pt-br.md,bmm/data,1459,1689,+15.8
_bmad/bmm/docs/README.md,_bmad/bmm/docs/README_pt-br.md,bmm/docs,8435,9672,+14.7
_bmad/bmm/docs/agents-guide.md,_bmad/bmm/docs/agents-guide_pt-br.md,bmm/docs,34527,5441,-84.2
_bmad/bmm/docs/bmad-quick-flow.md,_bmad/bmm/docs/bmad-quick-flow_pt-br.md,bmm/docs,12991,5415,-58.3
_bmad/bmm/docs/brownfield-guide.md,_bmad/bmm/docs/brownfield-guide_pt-br.md,bmm/docs,23269,5479,-76.5
_bmad/bmm/docs/enterprise-agentic-development.md,_bmad/bmm/docs/enterprise-agentic-development_pt-br.md,bmm/docs,20088,5673,-71.8
_bmad/bmm/docs/faq.md,_bmad/bmm/docs/faq_pt-br.md,bmm/docs,20034,5598,-72.1
_bmad/bmm/docs/glossary.md,_bmad/bmm/docs/glossary_pt-br.md,bmm/docs,13901,5546,-60.1
_bmad/bmm/docs/party-mode.md,_bmad/bmm/docs/party-mode_pt-br.md,bmm/docs,7184,5306,-26.1
_bmad/bmm/docs/quick-flow-solo-dev.md,_bmad/bmm/docs/quick-flow-solo-dev_pt-br.md,bmm/docs,11432,5398,-52.8
_bmad/bmm/docs/quick-spec-flow.md,_bmad/bmm/docs/quick-spec-flow_pt-br.md,bmm/docs,17724,5413,-69.5
_bmad/bmm/docs/quick-start.md,_bmad/bmm/docs/quick-start_pt-br.md,bmm/docs,14302,5456,-61.9
_bmad/bmm/docs/scale-adaptive-system.md,_bmad/bmm/docs/scale-adaptive-system_pt-br.md,bmm/docs,15613,5332,-65.8
_bmad/bmm/docs/test-architecture.md,_bmad/bmm/docs/test-architecture_pt-br.md,bmm/docs,33650,5210,-84.5
_bmad/bmm/docs/troubleshooting.md,_bmad/bmm/docs/troubleshooting_pt-br.md,bmm/docs,18600,5590,-69.9
_bmad/bmm/docs/workflow-architecture-reference.md,_bmad/bmm/docs/workflow-architecture-reference_pt-br.md,bmm/docs,12957,5050,-61.0
_bmad/bmm/docs/workflow-document-project-reference.md,_bmad/bmm/docs/workflow-document-project-reference_pt-br.md,bmm/docs,14828,5520,-62.8
_bmad/bmm/docs/workflows-analysis.md,_bmad/bmm/docs/workflows-analysis_pt-br.md,bmm/docs,8875,5333,-39.9
_bmad/bmm/docs/workflows-implementation.md,_bmad/bmm/docs/workflows-implementation_pt-br.md,bmm/docs,6730,5242,-22.1
